date,key,strength,confidence,summary
2026-07-15,national_team,0.0,低,
2026-07-15,insurance_social,0.0,低,
2026-07-15,mutual_fund,,低,
2026-07-15,quant,0.0,低,
2026-07-15,hot_money,1.0,高,
2026-07-15,industrial,0.0,高,
2026-07-15,retail,-1.0,高,
2026-07-16,national_team,0.0,低,
2026-07-16,hot_money,0.0,高,
2026-07-16,insurance_social,0.0,低,
2026-07-16,industrial,0.0,高,
2026-07-16,quant,0.0,低,
2026-07-16,retail,-1.0,高,
2026-07-16,mutual_fund,0.0,中,
2026-07-17,insurance_social,0.0,低,"无涉险资/社保公告;险资无每日数据,默认视为中性。"
2026-07-17,mutual_fund,1.0,中,全市场ETF份额环比 +0.62%(申赎代理);近7天新发权益基金 0亿份。
2026-07-17,quant,0.0,低,"小微盘成交占比 15.5%,均值基线待历史累积。"
2026-07-17,retail,-1.0,高,沪市融资余额环比 -380亿。
2026-07-17,industrial,1.0,高,回购公告 12 家;大宗溢价成交占比 32%。
2026-07-17,national_team,0.0,低,"ETF成交已记录,放量基线累积中(约需一个月),暂不判断方向。"
2026-07-17,hot_money,0.0,高,"知名游资席位 4 个上榜,合计净买入 -0.1亿。"
2026-07-20,hot_money,1.0,高,"知名游资席位 4 个上榜,合计净买入 +0.6亿。"
2026-07-20,industrial,1.0,高,回购公告 22 家;大宗溢价成交占比 21%。
2026-07-20,quant,0.0,低,"小微盘成交占比 15.5%,均值基线待历史累积。"
2026-07-20,national_team,0.0,低,"ETF成交已记录,放量基线累积中(约需一个月),暂不判断方向。"
2026-07-20,retail,-1.0,高,沪市融资余额环比 -380亿。
2026-07-20,mutual_fund,1.0,中,全市场ETF份额环比 +0.32%(申赎代理);近7天新发权益基金 0亿份。
2026-07-20,insurance_social,0.0,低,"无涉险资/社保公告;险资无每日数据,默认视为中性。"
2026-07-21,insurance_social,0.0,低,"无涉险资/社保公告;险资无每日数据,默认视为中性。"
2026-07-21,quant,0.0,低,"小微盘成交占比 15.1%,均值基线待历史累积。"
2026-07-21,industrial,1.0,高,回购公告 49 家;大宗溢价成交占比 19%。
2026-07-21,retail,-1.0,高,沪市融资余额环比 -301亿。
2026-07-21,hot_money,2.0,高,"知名游资席位 4 个上榜,合计净买入 +3.5亿。"
2026-07-21,mutual_fund,2.0,中,全市场ETF份额环比 +3.03%(申赎代理);近7天新发权益基金 4亿份。
2026-07-21,national_team,0.0,低,"ETF成交已记录,放量基线累积中(约需一个月),暂不判断方向。"
2026-07-22,mutual_fund,0,中,全市场ETF份额环比 -0.15%(申赎代理);近7天新发权益基金 4亿份。
2026-07-22,industrial,1,高,回购公告 27 家;大宗溢价成交占比 11%。
2026-07-22,insurance_social,0,低,"无涉险资/社保公告;险资无每日数据,默认视为中性。"
2026-07-22,hot_money,1,高,"知名游资席位 5 个上榜,合计净买入 +2.0亿。"
2026-07-22,national_team,0,中,"宽基ETF成交平稳,未见国家队明显动作。"
2026-07-22,quant,0,中,"小微盘成交占比较20日均值偏离 -1.6pp,代理量化策略活跃度变化。"
2026-07-22,retail,0,高,沪市融资余额环比 +9亿。
2026-07-23,quant,0,中,"小微盘成交占比较20日均值偏离 +0.2pp,代理量化策略活跃度变化。"
2026-07-23,insurance_social,0,低,"无涉险资/社保公告;险资无每日数据,默认视为中性。"
2026-07-23,industrial,0,高,回购公告 33 家;大宗溢价成交占比 1%。
2026-07-23,mutual_fund,-1,中,全市场ETF份额环比 -0.37%(申赎代理);近7天新发权益基金 0亿份。
2026-07-23,national_team,0,中,"宽基ETF成交平稳,未见国家队明显动作。"
2026-07-23,hot_money,1,高,"知名游资席位 4 个上榜,合计净买入 +0.7亿。"
2026-07-23,retail,0,高,沪市融资余额环比 -4亿。
2026-07-24,industrial,0,高,回购公告 27 家;大宗溢价成交占比 1%。
2026-07-24,hot_money,0,高,"知名游资席位 2 个上榜,合计净买入 +0.1亿。"
2026-07-24,quant,0,中,"小微盘成交占比较20日均值偏离 +0.5pp,代理量化策略活跃度变化。"
2026-07-24,mutual_fund,1,中,全市场ETF份额环比 +0.36%(申赎代理);近7天新发权益基金 8亿份。
2026-07-24,insurance_social,0,低,"无涉险资/社保公告;险资无每日数据,默认视为中性。"
2026-07-24,national_team,0,中,"宽基ETF成交平稳,未见国家队明显动作。"
2026-07-24,retail,-1,高,沪市融资余额环比 -46亿。
